year,run,country,region,census,harvest,harvest_F_>1yr,harvest_F_kitten
1998,1,S,Z,82,44,15,1
1999,2,S,Z,84,30,14,2
2000,3,S,Z,63,52,14,7
2001,4,S,Z,49,39,12,7
2002,5,S,Z,44,31,8,5
2003,6,S,Z,39,19,3,1
2004,7,S,Z,32,17,4,2
2005,8,S,Z,42,8,2,0
2006,9,S,Z,44,16,6,3
2007,10,S,Z,42,16,5,3
2008,11,S,Z,53,26,7,6
2009,12,S,Z,53,55,22,7
2010,13,S,Z,35,42,15,2
2011,14,S,Z,39,59,24,6
2012,15,S,Z,31,18,5,3
2013,16,S,Z,14,9,3,1
2014,17,S,Z,20,1,1,0
2015,18,S,Z,33,8,2,2
2016,19,S,Z,38,38,5,15
2017,20,S,Z,36,36,9,4
1998,1,S,Y,41,13,4,1
1999,2,S,Y,37,16,6,2
2000,3,S,Y,30,13,5,3
2001,4,S,Y,28,8,2,2
2002,5,S,Y,20,5,3,0
2003,6,S,Y,19,6,3,0
2004,7,S,Y,7,1,0,0
2005,8,S,Y,14,0,0,0
2006,9,S,Y,11,2,0,0
2007,10,S,Y,12,0,0,0
2008,11,S,Y,16,0,0,0
2009,12,S,Y,17,4,2,0
2010,13,S,Y,18,8,3,1
2011,14,S,Y,24,12,2,1
2012,15,S,Y,26,7,2,0
2013,16,S,Y,14,8,2,0
2014,17,S,Y,16,6,3,1
2015,18,S,Y,16,2,0,0
2016,19,S,Y,18,12,3,2
2017,20,S,Y,19,9,2,0
1998,1,S,AC,36,5,1,0
1999,2,S,AC,36,7,2,0
2000,3,S,AC,34,18,6,1
2001,4,S,AC,38,15,8,2
2002,5,S,AC,29,16,8,2
2003,6,S,AC,24,7,3,0
2004,7,S,AC,21,8,3,0
2005,8,S,AC,31,4,0,0
2006,9,S,AC,31,2,0,0
2007,10,S,AC,23,6,2,0
2008,11,S,AC,37,7,2,0
2009,12,S,AC,41,23,8,1
2010,13,S,AC,28,13,6,1
2011,14,S,AC,32,11,4,1
2012,15,S,AC,34,26,6,4
2013,16,S,AC,22,34,10,2
2014,17,S,AC,13,7,2,0
2015,18,S,AC,13,3,1,1
2016,19,S,AC,27,12,4,1
2017,20,S,AC,28,15,7,0
1998,1,S,BD,35,3,1,0
1999,2,S,BD,37,4,1,0
2000,3,S,BD,23,1,1,0
2001,4,S,BD,34,1,0,0
2002,5,S,BD,39,0,0,0
2003,6,S,BD,32,0,0,0
2004,7,S,BD,25,0,0,0
2005,8,S,BD,32,2,1,0
2006,9,S,BD,23,1,0,1
2007,10,S,BD,24,2,0,0
2008,11,S,BD,33,0,0,0
2009,12,S,BD,37,2,0,0
2010,13,S,BD,33,19,8,2
2011,14,S,BD,44,13,5,1
2012,15,S,BD,43,28,13,4
2013,16,S,BD,30,25,7,4
2014,17,S,BD,17,8,3,1
2015,18,S,BD,32,8,2,2
2016,19,S,BD,28,14,3,2
2017,20,S,BD,26,23,6,3
1996,1,N,2,14,15,1,2
1997,2,N,2,20,18,4,2
1998,3,N,2,14,29,8,4
1999,4,N,2,20,21,7,2
2000,5,N,2,12,18,5,3
2001,6,N,2,13,16,7,0
2002,7,N,2,9,14,6,2
2003,8,N,2,4,15,4,2
2004,9,N,2,7,7,2,1
2005,10,N,2,13,10,3,2
2006,11,N,2,13,6,2,2
2007,12,N,2,13,10,4,1
2008,13,N,2,14,22,4,2
2009,14,N,2,19,27,8,2
2010,15,N,2,17,28,10,3
2011,16,N,2,14,26,9,2
2012,17,N,2,16,16,4,2
2013,18,N,2,16,23,9,2
2014,19,N,2,16,29,11,5
2015,20,N,2,16,37,9,3
2016,21,N,2,9,21,8,0
2017,22,N,2,9,5,3,0
1996,1,N,3,1,4,0,1
1997,2,N,3,3,5,0,0
1998,3,N,3,2,11,4,0
1999,4,N,3,3,14,3,1
2000,5,N,3,5,9,2,2
2001,6,N,3,5,10,6,1
2002,7,N,3,7,12,5,2
2003,8,N,3,3,5,3,0
2004,9,N,3,3,1,1,0
2005,10,N,3,6,1,1,0
2006,11,N,3,5,3,2,0
2007,12,N,3,6,6,4,1
2008,13,N,3,5,11,4,2
2009,14,N,3,6,10,2,3
2010,15,N,3,4,9,5,0
2011,16,N,3,4,11,3,0
2012,17,N,3,5,5,0,1
2013,18,N,3,7,8,2,0
2014,19,N,3,5,11,2,1
2015,20,N,3,7,9,1,0
2016,21,N,3,3,6,3,0
2017,22,N,3,5,4,1,0
1996,1,N,4,2,0,0,0
1997,2,N,4,3,0,0,0
1998,3,N,4,6,0,0,0
1999,4,N,4,6,10,2,2
2000,5,N,4,1,11,2,1
2001,6,N,4,5,7,2,2
2002,7,N,4,5,11,6,2
2003,8,N,4,5,5,1,0
2004,9,N,4,6,7,3,0
2005,10,N,4,7,4,3,1
2006,11,N,4,6,6,3,1
2007,12,N,4,6,5,2,0
2008,13,N,4,5,7,0,2
2009,14,N,4,7,6,2,0
2010,15,N,4,9,6,2,0
2011,16,N,4,6,11,4,0
2012,17,N,4,5,6,1,0
2013,18,N,4,1,3,1,0
2014,19,N,4,5,0,0,0
2015,20,N,4,4,2,0,0
2016,21,N,4,1,0,0,0
2017,22,N,4,3,0,0,0
1996,1,N,5,9,10,2,1
1997,2,N,5,7,9,3,0
1998,3,N,5,11,14,6,1
1999,4,N,5,11,15,3,2
2000,5,N,5,6,12,5,1
2001,6,N,5,9,12,5,2
2002,7,N,5,8,14,6,3
2003,8,N,5,7,17,8,4
2004,9,N,5,8,9,0,1
2005,10,N,5,7,12,4,0
2006,11,N,5,10,7,3,0
2007,12,N,5,11,9,3,1
2008,13,N,5,10,11,5,0
2009,14,N,5,9,14,3,1
2010,15,N,5,9,10,3,0
2011,16,N,5,11,9,3,1
2012,17,N,5,6,8,5,0
2013,18,N,5,5,5,1,0
2014,19,N,5,4,0,0,0
2015,20,N,5,2,0,0,0
2016,21,N,5,7,0,0,0
2017,22,N,5,9,0,0,0
1996,1,N,6,20,34,10,4
1997,2,N,6,26,40,10,2
1998,3,N,6,14,32,12,1
1999,4,N,6,14,14,4,3
2000,5,N,6,14,15,2,2
2001,6,N,6,9,7,3,2
2002,7,N,6,11,17,3,4
2003,8,N,6,11,9,2,1
2004,9,N,6,14,3,2,0
2005,10,N,6,14,14,4,4
2006,11,N,6,17,18,6,2
2007,12,N,6,15,29,6,4
2008,13,N,6,23,30,9,4
2009,14,N,6,26,36,16,8
2010,15,N,6,20,59,22,3
2011,16,N,6,18,52,16,4
2012,17,N,6,14,17,7,3
2013,18,N,6,8,15,6,0
2014,19,N,6,12,7,2,1
2015,20,N,6,17,18,6,0
2016,21,N,6,14,31,11,2
2017,22,N,6,19,33,11,5
1996,1,N,7,12,14,6,2
1997,2,N,7,14,16,4,3
1998,3,N,7,10,16,6,1
1999,4,N,7,16,11,5,0
2000,5,N,7,15,20,6,5
2001,6,N,7,5,16,6,2
2002,7,N,7,6,13,6,0
2003,8,N,7,5,7,4,0
2004,9,N,7,2,5,2,0
2005,10,N,7,4,2,1,0
2006,11,N,7,6,0,0,0
2007,12,N,7,8,0,0,0
2008,13,N,7,9,4,0,1
2009,14,N,7,14,8,4,1
2010,15,N,7,6,16,8,1
2011,16,N,7,8,12,4,1
2012,17,N,7,8,9,2,1
2013,18,N,7,10,6,4,0
2014,19,N,7,4,13,4,0
2015,20,N,7,5,4,2,0
2016,21,N,7,6,5,1,0
2017,22,N,7,6,6,1,0
1996,1,N,8,5,4,2,0
1997,2,N,8,7,5,1,1
1998,3,N,8,7,11,5,0
1999,4,N,8,5,1,1,0
2000,5,N,8,6,10,6,2
2001,6,N,8,6,13,7,1
2002,7,N,8,8,11,2,0
2003,8,N,8,10,4,1,0
2004,9,N,8,3,3,2,0
2005,10,N,8,3,1,0,0
2006,11,N,8,5,0,0,0
2007,12,N,8,12,1,1,0
